antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule
"market_segment=Groups, customer_type=Transient","is_canceled=Canceled, hotel=City Hotel, distribution_channel=TA/TO, is_repeated_guest=NewGuest",0.07086567816923323,0.25838302453301487,0.05440660717739969,0.7677427011630668,2.9713356848834644,1.0,0.03609611891644997,3.193083615372927,0.714052858007051,0.19795587380274796,0.6868231088012996,0.48915420977038826,"market_segment=Groups, customer_type=Transient","is_canceled=Canceled, hotel=City Hotel, distribution_channel=TA/TO, is_repeated_guest=NewGuest","market_segment=Groups, customer_type=Transient → is_canceled=Canceled, hotel=City Hotel, distribution_channel=TA/TO, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO","is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest",0.0985946291452553,0.3042531181403016,0.08913297617345523,0.9040348033779749,2.9713246947270178,1.0,0.05913525282412464,7.24999172981444,0.7360171068645099,0.2841210691402375,0.8620688081770276,0.5984957298623621,"deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO","is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest","deposit_type=Non Refund, meal=BB, distribution_channel=TA/TO → is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, total_of_special_requests=0_req, market_segment=Groups, hotel=City Hotel, meal=BB","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient, is_repeated_guest=NewGuest",0.06055457901952044,0.2793920993095096,0.05026871094439912,0.830138888888889,2.9712325113719986,1.0,0.03335023998933172,4.24233596481728,0.7062031670847924,0.1735330836454432,0.7642808093717135,0.5050303113920664,"deposit_type=Non Refund, total_of_special_requests=0_req, market_segment=Groups, hotel=City Hotel, meal=BB","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient, is_repeated_guest=NewGuest","deposit_type=Non Refund, total_of_special_requests=0_req, market_segment=Groups, hotel=City Hotel, meal=BB → is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, meal=BB, market_segment=Groups, hotel=City Hotel","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient, is_repeated_guest=NewGuest",0.0605629893777176,0.2793920993095096,0.05026871094439912,0.8300236078322455,2.9708198974973454,1.0,0.03334789020169907,4.239458736006716,0.7061597313725293,0.17352804552316803,0.7641208318630948,0.5049726708637446,"deposit_type=Non Refund, meal=BB, market_segment=Groups, hotel=City Hotel","is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient, is_repeated_guest=NewGuest","deposit_type=Non Refund, meal=BB, market_segment=Groups, hotel=City Hotel → is_canceled=Canceled, distribution_channel=TA/TO, customer_type=Transient, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, lead_time=180d+, meal=BB, hotel=City Hotel","is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest",0.05131159536084642,0.33432014869513293,0.050958360316565886,0.9931158826421899,2.9705534844919375,1.0,0.03380386012574322,96.69792316216733,0.6992416006199089,0.15226296082225518,0.9896585162607583,0.5727698605180963,"deposit_type=Non Refund, lead_time=180d+, meal=BB, hotel=City Hotel","is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest","deposit_type=Non Refund, lead_time=180d+, meal=BB, hotel=City Hotel → is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, total_of_special_requests=0_req, lead_time=180d+, hotel=City Hotel, meal=BB","is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest",0.05131159536084642,0.33432014869513293,0.050958360316565886,0.9931158826421899,2.9705534844919375,1.0,0.03380386012574322,96.69792316216733,0.6992416006199089,0.15226296082225518,0.9896585162607583,0.5727698605180963,"deposit_type=Non Refund, total_of_special_requests=0_req, lead_time=180d+, hotel=City Hotel, meal=BB","is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest","deposit_type=Non Refund, total_of_special_requests=0_req, lead_time=180d+, hotel=City Hotel, meal=BB → is_canceled=Canceled, distribution_channel=TA/TO, is_repeated_guest=NewGuest"
"total_of_special_requests=0_req, lead_time=180d+, hotel=City Hotel, meal=BB, distribution_channel=TA/TO","is_canceled=Canceled, adr=50-100, is_repeated_guest=NewGuest",0.09944407532316801,0.17837528700347346,0.052690894105179936,0.5298545331529093,2.9704481044091695,1.0,0.03495252862861481,1.7475967991492947,0.736601068033766,0.2340481171548117,0.4277856308235482,0.41262399909566816,"total_of_special_requests=0_req, lead_time=180d+, hotel=City Hotel, meal=BB, distribution_channel=TA/TO","is_canceled=Canceled, adr=50-100, is_repeated_guest=NewGuest","total_of_special_requests=0_req, lead_time=180d+, hotel=City Hotel, meal=BB, distribution_channel=TA/TO → is_canceled=Canceled, adr=50-100, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, market_segment=Groups, is_repeated_guest=NewGuest","is_canceled=Canceled, distribution_channel=TA/TO, total_of_special_requests=0_req",0.07713139502611416,0.3114271536824753,0.07134506858647109,0.9249809181114382,2.970135735352511,1.0,0.04732425777392973,9.178636008107587,0.7187535115475696,0.22491184346581117,0.8910513502096946,0.5770358153980454,"deposit_type=Non Refund, market_segment=Groups, is_repeated_guest=NewGuest","is_canceled=Canceled, distribution_channel=TA/TO, total_of_special_requests=0_req","deposit_type=Non Refund, market_segment=Groups, is_repeated_guest=NewGuest → is_canceled=Canceled, distribution_channel=TA/TO, total_of_special_requests=0_req"
"deposit_type=Non Refund, market_segment=Groups","is_canceled=Canceled, distribution_channel=TA/TO, total_of_special_requests=0_req",0.07713980538431132,0.3114271536824753,0.07134506858647109,0.9248800697775837,2.9698119089531043,1.0,0.047321638560014936,9.166313710340086,0.7187202812292778,0.22490588048146776,0.8909048902753626,0.5769853912311181,"deposit_type=Non Refund, market_segment=Groups","is_canceled=Canceled, distribution_channel=TA/TO, total_of_special_requests=0_req","deposit_type=Non Refund, market_segment=Groups → is_canceled=Canceled, distribution_channel=TA/TO, total_of_special_requests=0_req"
"hotel=City Hotel, distribution_channel=TA/TO, market_segment=Groups, total_of_special_requests=0_req","is_canceled=Canceled, adr=50-100",0.1132034213337146,0.18194968923726462,0.061168535167912805,0.5403417533432393,2.9697316637822175,1.0,0.0405712078356483,1.779692449146019,0.7479384291774864,0.2614212285683477,0.4381051622262895,0.4382627690632255,"hotel=City Hotel, distribution_channel=TA/TO, market_segment=Groups, total_of_special_requests=0_req","is_canceled=Canceled, adr=50-100","hotel=City Hotel, distribution_channel=TA/TO, market_segment=Groups, total_of_special_requests=0_req → is_canceled=Canceled, adr=50-100"
"deposit_type=Non Refund, meal=BB, total_of_special_requests=0_req","is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest",0.1044314177340813,0.3042531181403016,0.09433898789749455,0.9033582991060642,2.9691012030630843,1.0,0.06256540342008793,7.199240860043227,0.7405326086354816,0.30011237157534243,0.861096465663465,0.6067128735689543,"deposit_type=Non Refund, meal=BB, total_of_special_requests=0_req","is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest","deposit_type=Non Refund, meal=BB, total_of_special_requests=0_req → is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, meal=BB","is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest",0.1044482384504756,0.3042531181403016,0.09433898789749455,0.9032128190675578,2.968623048428563,1.0,0.06256028566467561,7.188419738615304,0.7404859421163877,0.30009631333939746,0.860887366575421,0.606640133549701,"deposit_type=Non Refund, meal=BB","is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest","deposit_type=Non Refund, meal=BB → is_canceled=Canceled, customer_type=Transient, is_repeated_guest=NewGuest"
"deposit_type=Non Refund, distribution_channel=TA/TO, total_of_special_requests=0_req","is_canceled=Canceled, meal=BB",0.11468364437641398,0.28978730204119396,0.09854416699607237,0.8592695805221473,2.9651733339233757,1.0,0.06531030310397962,5.046618212280501,0.7486042510941218,0.3221168384879725,0.8018475030334992,0.5996632323321207,"deposit_type=Non Refund, distribution_channel=TA/TO, total_of_special_requests=0_req","is_canceled=Canceled, meal=BB","deposit_type=Non Refund, distribution_channel=TA/TO, total_of_special_requests=0_req → is_canceled=Canceled, meal=BB"
"deposit_type=Non Refund, distribution_channel=TA/TO","is_canceled=Canceled, meal=BB",0.11469205473461115,0.28978730204119396,0.09854416699607237,0.8592065703600499,2.964955898025896,1.0,0.06530786588896845,5.044359667741791,0.748583426498586,0.32210798328568285,0.8017587829046159,0.599631727251072,"deposit_type=Non Refund, distribution_channel=TA/TO","is_canceled=Canceled, meal=BB","deposit_type=Non Refund, distribution_channel=TA/TO → is_canceled=Canceled, meal=BB"
"hotel=City Hotel, meal=BB, market_segment=Groups, is_repeated_guest=NewGuest","is_canceled=Canceled, adr=50-100",0.1054743021505286,0.18194968923726462,0.056896073203757745,0.5394306674108922,2.9647243129251404,1.0,0.037705056704951716,1.776171909154339,0.7408401023785957,0.24680773440350234,0.43699143374240484,0.4260664476926884,"hotel=City Hotel, meal=BB, market_segment=Groups, is_repeated_guest=NewGuest","is_canceled=Canceled, adr=50-100","hotel=City Hotel, meal=BB, market_segment=Groups, is_repeated_guest=NewGuest → is_canceled=Canceled, adr=50-100"
"deposit_type=Non Refund, total_of_special_requests=0_req, distribution_channel=TA/TO, is_repeated_guest=NewGuest","is_canceled=Canceled, meal=BB",0.11428835754114768,0.28978730204119396,0.09815729051900321,0.8588564279932299,2.963747624356368,1.0,0.06503797573243468,5.031845856393233,0.7480869872437795,0.3208610545994391,0.8012657723349285,0.5987891380736987,"deposit_type=Non Refund, total_of_special_requests=0_req, distribution_channel=TA/TO, is_repeated_guest=NewGuest","is_canceled=Canceled, meal=BB","deposit_type=Non Refund, total_of_special_requests=0_req, distribution_channel=TA/TO, is_repeated_guest=NewGuest → is_canceled=Canceled, meal=BB"
